LAMP_POST_01,0.588,0.732,5.325,256 x 256
LAMP_POST_01_amber,0.588,0.732,5.325,256 x 256
LAMP_POST_02,5.451,0.864,16.432,128 x 128
LAMP_POST_03,2.663,0.640,18.819,128 x 128
LAMP_POST_03_amber,2.663,0.640,18.819,128 x 128
LAMP_POST_03_white,2.663,0.640,18.819,128 x 128
LAMP_POST_04,0.523,0.312,18.479,128 x 128
LAMP_POST_04_amber,0.523,0.312,18.479,128 x 128
LAMP_POST_05,3.015,3.126,25.163,128 x 128
LAMP_POST_06,1.781,0.931,9.663,128 x 128
LAMP_POST_06_amber,1.781,0.931,9.663,128 x 128
LAMP_POST_07,0.853,0.931,9.949,128 x 128
LAMP_POST_07_amber,0.853,0.931,9.949,128 x 128
LAMP_POST_08,1.000,1.000,30.378,128 x 128
LAMP_POST_09,0.753,0.554,30.378,128 x 128
LAMP_POST_10,0.523,0.554,18.479,128 x 128
LAMP_POST_11,0.523,0.554,18.479,128 x 128
LAMP_POST_11_amber,0.523,0.554,18.479,128 x 128
LAMP_POST_12,2.000,2.476,16.891,256 x 256
LAMP_POST_12_amber,2.000,2.476,16.891,256 x 256
LAMP_POST_13,1.592,1.634,30.644,256 x 512
LAMP_POST_14,2.201,1.154,25.119,512 x 512
LAMP_POST_14_amber,2.201,1.154,25.119,512 x 512
